oldID	newID
8118424	1
8118425	2
8118426	3
8118429	4
8118430	5
8118432	6
8118433	7
8118435	8
8118437	9
8168602	10
8168603	11
8168605	12
8168606	13
8168613	14
8168614	15
8168615	16
8168617	17
8168632	18
8168634	19
8168635	20
8168636	21
8168637	22
8168638	23
8168639	24
8168642	25
8168644	26
8168648	27
8168649	28
8168650	29
8168654	30
8168655	31
8168656	32
8168657	33
8168658	34
8168659	35
8168660	36
8168661	37
8168662	38
8168663	39
8168665	40
8168683	41
8168684	42
8168692	43
8168693	44
8168698	45
8168702	46
8168709	47
8168753	48
8168768	49
8168769	50
8168771	51
8168772	52
8168796	53
8301231	54
8309125	55
8309128	56
8309135	57
8309141	58
8309143	59
8309146	60
8309155	61
8309156	62
8309158	63
8309159	64
8309162	65
8309164	66
8309165	67
8309171	68
8309173	69
8309175	70
8309182	71
8309183	72
8309190	73
8309191	74
8309195	75
8309197	76
8309210	77
8309215	78
8309216	79
8309218	80
8309231	81
8309240	82
8309243	83
8309251	84
8309252	85
8309254	86
8309260	87
8309263	88
8309266	89
8309267	90
8309269	91
8309272	92
8309274	93
8309277	94
8309283	95
8309285	96
8309287	97
8309288	98
8309291	99
8309298	100
8309300	101
8309915	102
8414340	103
8414341	104
8414342	105
8414343	106
8414344	107
8414345	108
8414346	109
8414347	110
8414348	111
8414349	112
8414501	113
8414503	114
8414505	115
8414506	116
8414508	117
8414509	118
8414512	119
8414517	120
8414520	121
8414521	122
8414522	123
8414523	124
8414525	125
8414526	126
8414527	127
8414528	128
8414529	129
8414533	130
8414534	131
8414535	132
8414536	133
8414539	134
8414540	135
8414541	136
8414543	137
8414545	138
8414552	139
8414553	140
8414554	141
8414555	142
8414556	143
8414557	144
8414558	145
8414559	146
8414560	147
8414561	148
8414562	149
8414563	150
8414564	151
8414565	152
8414566	153
8414567	154
8414568	155
8414569	156
8414570	157
8414571	158
8414572	159
8414573	160
8414574	161
8414575	162
8414576	163
8414582	164
8414587	165
8414588	166
8414589	167
8414590	168
8414591	169
8414592	170
8414593	171
8414594	172
8414595	173
8414596	174
8414597	175
8414598	176
8414599	177
8414600	178
8414801	179
8414802	180
8414803	181
8414804	182
8414805	183
8414806	184
8414807	185
8414808	186
8414809	187
8414810	188
8414811	189
8414812	190
8414813	191
8414814	192
8414815	193
8414816	194
8414817	195
8414818	196
8414819	197
8414820	198
8414821	199
8414822	200
8414823	201
8414824	202
8414825	203
8414826	204
8414827	205
8414828	206
8414829	207
8414830	208
8414831	209
8414832	210
8414833	211
8414834	212
8414835	213
8414836	214
8414837	215
8414838	216
8414839	217
8414840	218
8414841	219
8414842	220
8414843	221
8414844	222
8414845	223
8414846	224
8414847	225
8414848	226
8414849	227
8414850	228
8414851	229
8414852	230
8414853	231
8414854	232
8414855	233
8414856	234
8414857	235
8414858	236
8414859	237
8414860	238
8414861	239
8414862	240
8414863	241
8414864	242
8414865	243
8414866	244
8414867	245
8414868	246
8414869	247
8414870	248
8414871	249
8414872	250
8414873	251
8414874	252
8414875	253
8414876	254
8414877	255
8414878	256
8414879	257
8414880	258
8414881	259
8414882	260
8414883	261
8414884	262
8414885	263
8414886	264
8414887	265
8414888	266
8414889	267
8414890	268
8414892	269
8414894	270
8414901	271
8414902	272
8414903	273
8414904	274
8414905	275
