"meiosis" "parent" "offspring" "yapp_CO_count"
"8800550_8934089" "8800550" "8934089" 21
"8800550_8981279" "8800550" "8981279" 22
"8800556_8L49930" "8800556" "8L49930" 6
"8800556_8L52909" "8800556" "8L52909" 12
"8800574_8887310" "8800574" "8887310" 13
"8800574_8887311" "8800574" "8887311" 17
"8800574_8934369" "8800574" "8934369" 19
"8800574_8934374" "8800574" "8934374" 16
"8800574_8943402" "8800574" "8943402" 23
"8800592_8857767" "8800592" "8857767" 20
"8800592_8887249" "8800592" "8887249" 20
"8800592_8943405" "8800592" "8943405" 21
"8800614_8857946" "8800614" "8857946" 19
"8800614_8887370" "8800614" "8887370" 18
"8800614_8943121" "8800614" "8943121" 14
"8800615_8866766" "8800615" "8866766" 11
"8800615_8887349" "8800615" "8887349" 19
"8800615_8887352" "8800615" "8887352" 24
"8800615_8934893" "8800615" "8934893" 21
"8800615_8934895" "8800615" "8934895" 16
"8816408_8L89431" "8816408" "8L89431" 17
"8816409_8M31583" "8816409" "8M31583" 19
"8816409_8M31591" "8816409" "8M31591" 21
"8816428_8M31520" "8816428" "8M31520" 12
"8816428_8M31522" "8816428" "8M31522" 15
"8816428_8M71512" "8816428" "8M71512" 19
"8816428_8M72745" "8816428" "8M72745" 17
"8816442_8L64841" "8816442" "8L64841" 22
"8816452_8L89245" "8816452" "8L89245" 14
"8816455_8L64241" "8816455" "8L64241" 17
"8816467_8L89441" "8816467" "8L89441" 20
"8816467_8M31496" "8816467" "8M31496" 22
"8816467_8M72644" "8816467" "8M72644" 12
"8816467_8M72646" "8816467" "8M72646" 17
"8816467_8M72647" "8816467" "8M72647" 14
"8816467_8M72882" "8816467" "8M72882" 17
"8816467_8M72884" "8816467" "8M72884" 13
"8816486_8M31984" "8816486" "8M31984" 27
"8816486_8M71865" "8816486" "8M71865" 26
"8816486_8N05704" "8816486" "8N05704" 17
"8816486_8N05711" "8816486" "8N05711" 24
"8816486_8N06783" "8816486" "8N06783" 22
"8816491_8L89755" "8816491" "8L89755" 24
"8816491_8M31293" "8816491" "8M31293" 17
"8816491_8M31923" "8816491" "8M31923" 26
"8816491_8M31938" "8816491" "8M31938" 20
"8816491_8M71257" "8816491" "8M71257" 20
"8816491_8M71258" "8816491" "8M71258" 19
"8816491_8M71315" "8816491" "8M71315" 18
"8816496_8L64224" "8816496" "8L64224" 19
"8816496_8L64225" "8816496" "8L64225" 10
"8816496_8M31389" "8816496" "8M31389" 20
"8816496_8M31390" "8816496" "8M31390" 13
"8816496_8M31520" "8816496" "8M31520" 16
"8816496_8M31522" "8816496" "8M31522" 8
"8816496_8M71513" "8816496" "8M71513" 10
"8816496_8M71569" "8816496" "8M71569" 14
"8816919_8L89244" "8816919" "8L89244" 19
"8816919_8L89245" "8816919" "8L89245" 19
"8816921_8L26570" "8816921" "8L26570" 23
"8816930_8N05708" "8816930" "8N05708" 15
"8816930_8N06930" "8816930" "8N06930" 23
"8816930_8N06931" "8816930" "8N06931" 15
"8816931_8L89721" "8816931" "8L89721" 14
"8816931_8M31265" "8816931" "8M31265" 10
"8816931_8M31278" "8816931" "8M31278" 12
"8816931_8N05748" "8816931" "8N05748" 13
"8816931_8N05829" "8816931" "8N05829" 17
"8816931_8N06941" "8816931" "8N06941" 16
"8816931_8N06944" "8816931" "8N06944" 12
"8816936_8L89526" "8816936" "8L89526" 20
"8816936_8L89626" "8816936" "8L89626" 10
"8816936_8L89712" "8816936" "8L89712" 20
"8816947_8M71239" "8816947" "8M71239" 9
"8816947_8M72863" "8816947" "8M72863" 19
"8816947_8M72864" "8816947" "8M72864" 18
"8816954_8M71503" "8816954" "8M71503" 18
"8816954_8M72613" "8816954" "8M72613" 15
"8816955_8M71503" "8816955" "8M71503" 18
"8816955_8M72613" "8816955" "8M72613" 17
"8857202_8857252" "8857202" "8857252" 22
"8857202_8857748" "8857202" "8857748" 17
"8857202_8887335" "8857202" "8887335" 15
"8857202_8939610" "8857202" "8939610" 11
"8857202_8939611" "8857202" "8939611" 19
"8857205_8887277" "8857205" "8887277" 36
"8857205_8939391" "8857205" "8939391" 17
"8857205_8939619" "8857205" "8939619" 22
"8857205_8939762" "8857205" "8939762" 25
"8857205_8939763" "8857205" "8939763" 25
"8857205_8981268" "8857205" "8981268" 43
"8857205_8981272" "8857205" "8981272" 24
"8857205_8981280" "8857205" "8981280" 30
"8857205_8L30286" "8857205" "8L30286" 34
"8857205_8L52212" "8857205" "8L52212" 26
"8857205_8L52533" "8857205" "8L52533" 30
"8857226_8866795" "8857226" "8866795" 19
"8857226_8866799" "8857226" "8866799" 12
"8857226_8887316" "8857226" "8887316" 20
"8857230_8939181" "8857230" "8939181" 26
"8857230_8943009" "8857230" "8943009" 15
"8857232_8857233" "8857232" "8857233" 18
"8857237_8309287" "8857237" "8309287" 26
"8857237_8934087" "8857237" "8934087" 17
"8857237_8L19977" "8857237" "8L19977" 23
"8857237_8L48350" "8857237" "8L48350" 13
"8857237_8L52308" "8857237" "8L52308" 21
"8857237_8L52310" "8857237" "8L52310" 19
"8857276_8939118" "8857276" "8939118" 15
"8857276_8943066" "8857276" "8943066" 21
"8857276_8943103" "8857276" "8943103" 9
"8857276_8943801" "8857276" "8943801" 20
"8857278_8934228" "8857278" "8934228" 18
"8857278_8939095" "8857278" "8939095" 22
"8857278_8939524" "8857278" "8939524" 17
"8857278_8939525" "8857278" "8939525" 15
"8857278_8943012" "8857278" "8943012" 15
"8857278_8981601" "8857278" "8981601" 16
"8857278_8981602" "8857278" "8981602" 19
"8857279_8887399" "8857279" "8887399" 21
"8857284_8934338" "8857284" "8934338" 18
"8857284_8939118" "8857284" "8939118" 16
"8857284_8943066" "8857284" "8943066" 11
"8857284_8943801" "8857284" "8943801" 13
"8857284_8L30761" "8857284" "8L30761" 13
"8857284_8L48463" "8857284" "8L48463" 15
"8857284_8L52598" "8857284" "8L52598" 15
"8857285_8934532" "8857285" "8934532" 13
"8857405_8887368" "8857405" "8887368" 10
"8857405_8934075" "8857405" "8934075" 14
"8857405_8934089" "8857405" "8934089" 16
"8857407_8887349" "8857407" "8887349" 15
"8857407_8887352" "8857407" "8887352" 12
"8857752_8939164" "8857752" "8939164" 15
"8857752_8939705" "8857752" "8939705" 10
"8857752_8L52943" "8857752" "8L52943" 13
"8857754_8939533" "8857754" "8939533" 30
"8857754_8939534" "8857754" "8939534" 25
"8857754_8939535" "8857754" "8939535" 26
"8857754_8943023" "8857754" "8943023" 25
"8857754_8943024" "8857754" "8943024" 18
"8857754_8943025" "8857754" "8943025" 24
"8857767_8939158" "8857767" "8939158" 17
"8857767_8943023" "8857767" "8943023" 19
"8857767_8943024" "8857767" "8943024" 19
"8857767_8943889" "8857767" "8943889" 20
"8857767_8L48581" "8857767" "8L48581" 30
"8857780_8939704" "8857780" "8939704" 29
"8857780_8981318" "8857780" "8981318" 26
"8857780_8L19899" "8857780" "8L19899" 21
"8857780_8L52969" "8857780" "8L52969" 18
"8857946_8943549" "8857946" "8943549" 16
"8857946_8981923" "8857946" "8981923" 17
"8857946_8L19506" "8857946" "8L19506" 17
"8866704_8981279" "8866704" "8981279" 17
"8866710_8939569" "8866710" "8939569" 14
"8866710_8981919" "8866710" "8981919" 18
"8866710_8L52404" "8866710" "8L52404" 19
"8866710_8L52969" "8866710" "8L52969" 15
"8866710_8M31716" "8866710" "8M31716" 11
"8866710_8M31717" "8866710" "8M31717" 24
"8866741_8816919" "8866741" "8816919" 18
"8866741_8934333" "8866741" "8934333" 21
"8866741_8L52922" "8866741" "8L52922" 16
"8866741_8L52923" "8866741" "8L52923" 16
"8866741_8L52967" "8866741" "8L52967" 23
"8866745_8939613" "8866745" "8939613" 17
"8866751_8887281" "8866751" "8887281" 23
"8866751_8943082" "8866751" "8943082" 10
"8866752_8943082" "8866752" "8943082" 25
"8866754_8866704" "8866754" "8866704" 15
"8866754_8934547" "8866754" "8934547" 15
"8866754_8939506" "8866754" "8939506" 12
"8866754_8939605" "8866754" "8939605" 17
"8866773_8943067" "8866773" "8943067" 19
"8866773_8943110" "8866773" "8943110" 19
"8866773_8943803" "8866773" "8943803" 19
"8866786_8934066" "8866786" "8934066" 20
"8866786_8943892" "8866786" "8943892" 17
"8866786_8981822" "8866786" "8981822" 13
"8866789_8934075" "8866789" "8934075" 28
"8866789_8L48311" "8866789" "8L48311" 22
"8866789_8L49938" "8866789" "8L49938" 9
"8887035_8934867" "8887035" "8934867" 15
"8887035_8981965" "8887035" "8981965" 13
"8887205_8939613" "8887205" "8939613" 22
"8887205_8L30449" "8887205" "8L30449" 19
"8887205_8L52514" "8887205" "8L52514" 24
"8887206_8816420" "8887206" "8816420" 22
"8887206_8939121" "8887206" "8939121" 26
"8887206_8939124" "8887206" "8939124" 19
"8887206_8L19729" "8887206" "8L19729" 16
"8887206_8L30782" "8887206" "8L30782" 19
"8887206_8L48479" "8887206" "8L48479" 14
"8887206_8L52934" "8887206" "8L52934" 12
"8887210_8934225" "8887210" "8934225" 16
"8887210_8939038" "8887210" "8939038" 14
"8887226_8934542" "8887226" "8934542" 13
"8887226_8981248" "8887226" "8981248" 22
"8887230_8934367" "8887230" "8934367" 21
"8887230_8934368" "8887230" "8934368" 20
"8887233_8934369" "8887233" "8934369" 11
"8887233_8934374" "8887233" "8934374" 19
"8887233_8943402" "8887233" "8943402" 16
"8887238_8816442" "8887238" "8816442" 26
"8887238_8939578" "8887238" "8939578" 15
"8887238_8939579" "8887238" "8939579" 13
"8887238_8L30876" "8887238" "8L30876" 13
"8887240_8934040" "8887240" "8934040" 22
"8887240_8939718" "8887240" "8939718" 10
"8887249_8943125" "8887249" "8943125" 10
"8887266_8939526" "8887266" "8939526" 4
"8887267_8939622" "8887267" "8939622" 21
"8887267_8981318" "8887267" "8981318" 15
"8887277_8934304" "8887277" "8934304" 18
"8887278_8934304" "8887278" "8934304" 10
"8887279_8939024" "8887279" "8939024" 17
"8887279_8939748" "8887279" "8939748" 15
"8887279_8939750" "8887279" "8939750" 19
"8887279_8943894" "8887279" "8943894" 18
"8887281_8934367" "8887281" "8934367" 17
"8887283_8943125" "8887283" "8943125" 20
"8887286_8816407" "8887286" "8816407" 16
"8887291_8943429" "8887291" "8943429" 22
"8887315_8309155" "8887315" "8309155" 19
"8887315_8981784" "8887315" "8981784" 17
"8887315_8981786" "8887315" "8981786" 18
"8887316_8887319" "8887316" "8887319" 18
"8887316_8943043" "8887316" "8943043" 19
"8887319_8943003" "8887319" "8943003" 14
"8887324_8939047" "8887324" "8939047" 16
"8887324_8L48607" "8887324" "8L48607" 17
"8887335_8118432" "8887335" "8118432" 20
"8887335_8118433" "8887335" "8118433" 13
"8887335_8981738" "8887335" "8981738" 9
"8887341_8866730" "8887341" "8866730" 18
"8887341_8943141" "8887341" "8943141" 16
"8887341_8981029" "8887341" "8981029" 16
"8887342_8939897" "8887342" "8939897" 17
"8887342_8939898" "8887342" "8939898" 20
"8887342_8939899" "8887342" "8939899" 15
"8887344_8939391" "8887344" "8939391" 18
"8887344_8939762" "8887344" "8939762" 27
"8887344_8939763" "8887344" "8939763" 14
"8887344_8981268" "8887344" "8981268" 16
"8887344_8981272" "8887344" "8981272" 16
"8887344_8981280" "8887344" "8981280" 20
"8887344_8L30286" "8887344" "8L30286" 20
"8887344_8L52212" "8887344" "8L52212" 17
"8887344_8L52533" "8887344" "8L52533" 20
"8887345_8934059" "8887345" "8934059" 18
"8887345_8939034" "8887345" "8939034" 13
"8887345_8939159" "8887345" "8939159" 14
"8887345_8939180" "8887345" "8939180" 21
"8887345_8L52407" "8887345" "8L52407" 18
"8887346_8943113" "8887346" "8943113" 8
"8887349_8943752" "8887349" "8943752" 10
"8887357_8943067" "8887357" "8943067" 17
"8887357_8943110" "8887357" "8943110" 18
"8887357_8943803" "8887357" "8943803" 17
"8887360_8934343" "8887360" "8934343" 20
"8887360_8939097" "8887360" "8939097" 20
"8887360_8939119" "8887360" "8939119" 23
"8887360_8939139" "8887360" "8939139" 23
"8887368_8939897" "8887368" "8939897" 24
"8887368_8939898" "8887368" "8939898" 22
"8887368_8939899" "8887368" "8939899" 24
"8887370_8939024" "8887370" "8939024" 24
"8887370_8939748" "8887370" "8939748" 21
"8887370_8939750" "8887370" "8939750" 21
"8887370_8943892" "8887370" "8943892" 21
"8887370_8943894" "8887370" "8943894" 24
"8887385_8939561" "8887385" "8939561" 12
"8887385_8943143" "8887385" "8943143" 19
"8887385_8L30920" "8887385" "8L30920" 10
"8887385_8L48344" "8887385" "8L48344" 15
"8887399_8939117" "8887399" "8939117" 19
"8887399_8939140" "8887399" "8939140" 19
"8887406_8939095" "8887406" "8939095" 20
"8887406_8939117" "8887406" "8939117" 16
"8887406_8939140" "8887406" "8939140" 18
"8887406_8L30248" "8887406" "8L30248" 12
"8887423_8939462" "8887423" "8939462" 22
"8887423_8943758" "8887423" "8943758" 16
"8887439_8934069" "8887439" "8934069" 23
"8887440_8934353" "8887440" "8934353" 10
"8887448_8939175" "8887448" "8939175" 15
"8887449_8L52550" "8887449" "8L52550" 16
"8887451_8943113" "8887451" "8943113" 18
"8887451_8981287" "8887451" "8981287" 14
"8887451_8L26591" "8887451" "8L26591" 20
"8887455_8816427" "8887455" "8816427" 11
"8887462_8939551" "8887462" "8939551" 11
"8887462_8L64216" "8887462" "8L64216" 17
"8887462_8L64976" "8887462" "8L64976" 15
"8887472_8934225" "8887472" "8934225" 25
"8887472_8939038" "8887472" "8939038" 30
"8887472_8L48371" "8887472" "8L48371" 34
"8887472_8L48473" "8887472" "8L48473" 30
"8887472_8L48477" "8887472" "8L48477" 38
"8887472_8L89296" "8887472" "8L89296" 26
"8887481_8L52597" "8887481" "8L52597" 11
"8887481_8L52959" "8887481" "8L52959" 15
"8887484_8939706" "8887484" "8939706" 19
"8887484_8939726" "8887484" "8939726" 20
"8887490_8934228" "8887490" "8934228" 20
"8887490_8943012" "8887490" "8943012" 15
"8934028_8816452" "8934028" "8816452" 17
"8934028_8939706" "8934028" "8939706" 16
"8934028_8L52960" "8934028" "8L52960" 21
"8934028_8L52962" "8934028" "8L52962" 14
"8934040_8939551" "8934040" "8939551" 12
"8934058_8816408" "8934058" "8816408" 11
"8934058_8816409" "8934058" "8816409" 24
"8934058_8939602" "8934058" "8939602" 20
"8934062_8981007" "8934062" "8981007" 22
"8934062_8981278" "8934062" "8981278" 11
"8934066_8L19972" "8934066" "8L19972" 24
"8934066_8L64981" "8934066" "8L64981" 39
"8934069_8981278" "8934069" "8981278" 16
"8934069_8L89210" "8934069" "8L89210" 13
"8934089_8939746" "8934089" "8939746" 16
"8934089_8981005" "8934089" "8981005" 9
"8934089_8981020" "8934089" "8981020" 14
"8934089_8981289" "8934089" "8981289" 19
"8934215_8M71672" "8934215" "8M71672" 14
"8934215_8M72178" "8934215" "8M72178" 20
"8934217_8981773" "8934217" "8981773" 29
"8934217_8981774" "8934217" "8981774" 18
"8934225_8L30444" "8934225" "8L30444" 9
"8934304_8309175" "8934304" "8309175" 21
"8934304_8309251" "8934304" "8309251" 32
"8934304_8L48455" "8934304" "8L48455" 42
"8934304_8L52956" "8934304" "8L52956" 24
"8934304_8L89352" "8934304" "8L89352" 35
"8934304_8L89742" "8934304" "8L89742" 30
"8934311_8934363" "8934311" "8934363" 20
"8934311_8934364" "8934311" "8934364" 23
"8934311_8934514" "8934311" "8934514" 21
"8934313_8934893" "8934313" "8934893" 23
"8934313_8934895" "8934313" "8934895" 20
"8934329_8939101" "8934329" "8939101" 16
"8934333_8309156" "8934333" "8309156" 11
"8934333_8309159" "8934333" "8309159" 19
"8934333_8816455" "8934333" "8816455" 17
"8934333_8816456" "8934333" "8816456" 18
"8934333_8981325" "8934333" "8981325" 16
"8934333_8L26582" "8934333" "8L26582" 16
"8934333_8L48608" "8934333" "8L48608" 18
"8934333_8L52411" "8934333" "8L52411" 17
"8934333_8L52923" "8934333" "8L52923" 22
"8934333_8L52963" "8934333" "8L52963" 17
"8934333_8L89244" "8934333" "8L89244" 15
"8934333_8L89335" "8934333" "8L89335" 20
"8934333_8L89337" "8934333" "8L89337" 17
"8934333_8L89399" "8934333" "8L89399" 15
"8934338_8981604" "8934338" "8981604" 19
"8934338_8981607" "8934338" "8981607" 19
"8934338_8L19931" "8934338" "8L19931" 15
"8934338_8L19961" "8934338" "8L19961" 15
"8934339_8939119" "8934339" "8939119" 21
"8934339_8939139" "8934339" "8939139" 18
"8934339_8L64291" "8934339" "8L64291" 18
"8934339_8L89461" "8934339" "8L89461" 17
"8934355_8934329" "8934355" "8934329" 19
"8934355_8939726" "8934355" "8939726" 14
"8934364_8943889" "8934364" "8943889" 15
"8934368_8939199" "8934368" "8939199" 13
"8934368_8939745" "8934368" "8939745" 15
"8934368_8981002" "8934368" "8981002" 21
"8934368_8L52401" "8934368" "8L52401" 12
"8934373_8934066" "8934373" "8934066" 21
"8934373_8939192" "8934373" "8939192" 22
"8934373_8939538" "8934373" "8939538" 17
"8934373_8939539" "8934373" "8939539" 20
"8934373_8939542" "8934373" "8939542" 32
"8934373_8981253" "8934373" "8981253" 21
"8934374_8816408" "8934374" "8816408" 27
"8934374_8816409" "8934374" "8816409" 23
"8934374_8939175" "8934374" "8939175" 24
"8934374_8L48310" "8934374" "8L48310" 15
"8934374_8L89265" "8934374" "8L89265" 21
"8934374_8L89266" "8934374" "8L89266" 22
"8934376_8943009" "8934376" "8943009" 18
"8934395_8L30848" "8934395" "8L30848" 20
"8934395_8L52241" "8934395" "8L52241" 17
"8934395_8L52243" "8934395" "8L52243" 24
"8934395_8L52244" "8934395" "8L52244" 16
"8934395_8L64169" "8934395" "8L64169" 16
"8934395_8M72136" "8934395" "8M72136" 17
"8934395_8M72323" "8934395" "8M72323" 11
"8934451_8939578" "8934451" "8939578" 18
"8934451_8939579" "8934451" "8939579" 13
"8934460_8L52931" "8934460" "8L52931" 17
"8934472_8934883" "8934472" "8934883" 21
"8934472_8939498" "8934472" "8939498" 21
"8934472_8981832" "8934472" "8981832" 24
"8934472_8L19661" "8934472" "8L19661" 15
"8934481_8939875" "8934481" "8939875" 16
"8934481_8939876" "8934481" "8939876" 20
"8934514_8939465" "8934514" "8939465" 14
"8934514_8981955" "8934514" "8981955" 20
"8934559_8939091" "8934559" "8939091" 17
"8934559_8939631" "8934559" "8939631" 19
"8934559_8939632" "8934559" "8939632" 13
"8934559_8981016" "8934559" "8981016" 15
"8934559_8L48477" "8934559" "8L48477" 19
"8934559_8L64915" "8934559" "8L64915" 19
"8934588_8L19539" "8934588" "8L19539" 15
"8934588_8L19540" "8934588" "8L19540" 16
"8934600_8816929" "8934600" "8816929" 11
"8934600_8981021" "8934600" "8981021" 5
"8934600_8L30780" "8934600" "8L30780" 12
"8934600_8L52420" "8934600" "8L52420" 10
"8934600_8L52974" "8934600" "8L52974" 15
"8934600_8L89525" "8934600" "8L89525" 16
"8934600_8L89718" "8934600" "8L89718" 12
"8934808_8L64857" "8934808" "8L64857" 12
"8934808_8M72326" "8934808" "8M72326" 14
"8934820_8L30301" "8934820" "8L30301" 31
"8934820_8L48540" "8934820" "8L48540" 4
"8934854_8981741" "8934854" "8981741" 12
"8934867_8981864" "8934867" "8981864" 20
"8934867_8981945" "8934867" "8981945" 19
"8934875_8934395" "8934875" "8934395" 14
"8934875_8939872" "8934875" "8939872" 20
"8934875_8981536" "8934875" "8981536" 9
"8934893_8939627" "8934893" "8939627" 19
"8934899_8939561" "8934899" "8939561" 18
"8934899_8943143" "8934899" "8943143" 22
"8934899_8L48344" "8934899" "8L48344" 19
"8939024_8939584" "8939024" "8939584" 19
"8939034_8L48602" "8939034" "8L48602" 20
"8939037_8981739" "8939037" "8981739" 13
"8939037_8L19986" "8939037" "8L19986" 13
"8939037_8L30253" "8939037" "8L30253" 14
"8939037_8L30878" "8939037" "8L30878" 19
"8939037_8L30879" "8939037" "8L30879" 9
"8939037_8L30882" "8939037" "8L30882" 17
"8939037_8L49963" "8939037" "8L49963" 18
"8939037_8L64945" "8939037" "8L64945" 14
"8939038_8L19728" "8939038" "8L19728" 15
"8939038_8L30449" "8939038" "8L30449" 19
"8939038_8L52514" "8939038" "8L52514" 16
"8939038_8L64916" "8939038" "8L64916" 16
"8939038_8M31305" "8939038" "8M31305" 12
"8939052_8939746" "8939052" "8939746" 27
"8939052_8L52426" "8939052" "8L52426" 24
"8939085_8981003" "8939085" "8981003" 17
"8939085_8L48368" "8939085" "8L48368" 13
"8939085_8L52549" "8939085" "8L52549" 18
"8939085_8L64971" "8939085" "8L64971" 16
"8939085_8L89512" "8939085" "8L89512" 17
"8939086_8L64215" "8939086" "8L64215" 30
"8939091_8816929" "8939091" "8816929" 25
"8939091_8981021" "8939091" "8981021" 27
"8939091_8L30780" "8939091" "8L30780" 22
"8939091_8L52420" "8939091" "8L52420" 19
"8939091_8L52974" "8939091" "8L52974" 26
"8939095_8L30291" "8939095" "8L30291" 25
"8939095_8L48463" "8939095" "8L48463" 26
"8939095_8L48691" "8939095" "8L48691" 22
"8939095_8L52598" "8939095" "8L52598" 11
"8939097_8L19922" "8939097" "8L19922" 16
"8939097_8L30363" "8939097" "8L30363" 14
"8939106_8L48611" "8939106" "8L48611" 19
"8939106_8L49917" "8939106" "8L49917" 18
"8939106_8L89282" "8939106" "8L89282" 16
"8939106_8L89815" "8939106" "8L89815" 15
"8939119_8L48467" "8939119" "8L48467" 10
"8939119_8L64288" "8939119" "8L64288" 15
"8939119_8L89804" "8939119" "8L89804" 15
"8939122_8939519" "8939122" "8939519" 13
"8939122_8939521" "8939122" "8939521" 13
"8939124_8981739" "8939124" "8981739" 21
"8939124_8L30253" "8939124" "8L30253" 20
"8939125_8981031" "8939125" "8981031" 8
"8939125_8L30878" "8939125" "8L30878" 22
"8939125_8L30879" "8939125" "8L30879" 20
"8939125_8L30882" "8939125" "8L30882" 21
"8939139_8L48469" "8939139" "8L48469" 19
"8939151_8981773" "8939151" "8981773" 14
"8939151_8981774" "8939151" "8981774" 14
"8939157_8981024" "8939157" "8981024" 25
"8939158_8L52501" "8939158" "8L52501" 13
"8939180_8981293" "8939180" "8981293" 20
"8939181_8939602" "8939181" "8939602" 30
"8939196_8L52426" "8939196" "8L52426" 16
"8939196_8M71318" "8939196" "8M71318" 8
"8939197_8L30898" "8939197" "8L30898" 19
"8939197_8L48314" "8939197" "8L48314" 22
"8939197_8L48440" "8939197" "8L48440" 19
"8939199_8L30401" "8939199" "8L30401" 21
"8939199_8L52428" "8939199" "8L52428" 22
"8939199_8L52955" "8939199" "8L52955" 16
"8939199_8L89366" "8939199" "8L89366" 17
"8939199_8L89388" "8939199" "8L89388" 16
"8939199_8M31294" "8939199" "8M31294" 18
"8939199_8M31875" "8939199" "8M31875" 20
"8939199_8M71206" "8939199" "8M71206" 12
"8939359_8816496" "8939359" "8816496" 20
"8939359_8L30892" "8939359" "8L30892" 16
"8939359_8L52978" "8939359" "8L52978" 11
"8939360_8981284" "8939360" "8981284" 37
"8939360_8L48583" "8939360" "8L48583" 18
"8939391_8309186" "8939391" "8309186" 18
"8939391_8L89273" "8939391" "8L89273" 17
"8939391_8L89741" "8939391" "8L89741" 16
"8939391_8M31527" "8939391" "8M31527" 16
"8939391_8M31562" "8939391" "8M31562" 14
"8939392_8118424" "8939392" "8118424" 16
"8939392_8118425" "8939392" "8118425" 16
"8939392_8118430" "8939392" "8118430" 20
"8939392_8981325" "8939392" "8981325" 17
"8939392_8L26581" "8939392" "8L26581" 16
"8939392_8L48608" "8939392" "8L48608" 17
"8939392_8L52403" "8939392" "8L52403" 14
"8939392_8L52408" "8939392" "8L52408" 20
"8939392_8L52963" "8939392" "8L52963" 19
"8939392_8L89334" "8939392" "8L89334" 11
"8939392_8L89471" "8939392" "8L89471" 19
"8939392_8L89645" "8939392" "8L89645" 19
"8939419_8L64397" "8939419" "8L64397" 21
"8939419_8L64812" "8939419" "8L64812" 28
"8939443_8L57922" "8939443" "8L57922" 25
"8939443_8L57927" "8939443" "8L57927" 27
"8939443_8M72237" "8939443" "8M72237" 25
"8939443_8M72323" "8939443" "8M72323" 21
"8939462_8L19595" "8939462" "8L19595" 21
"8939462_8L48451" "8939462" "8L48451" 16
"8939462_8M72017" "8939462" "8M72017" 19
"8939475_8981940" "8939475" "8981940" 22
"8939475_8L19633" "8939475" "8L19633" 26
"8939495_8L19637" "8939495" "8L19637" 13
"8939495_8L30388" "8939495" "8L30388" 15
"8939495_8L64839" "8939495" "8L64839" 15
"8939519_8L49957" "8939519" "8L49957" 13
"8939519_8L49958" "8939519" "8L49958" 16
"8939519_8L49959" "8939519" "8L49959" 16
"8939519_8L49960" "8939519" "8L49960" 16
"8939519_8L89880" "8939519" "8L89880" 16
"8939519_8M31433" "8939519" "8M31433" 15
"8939534_8981265" "8939534" "8981265" 16
"8939534_8981274" "8939534" "8981274" 15
"8939534_8981296" "8939534" "8981296" 15
"8939534_8L19934" "8939534" "8L19934" 14
"8939534_8L19978" "8939534" "8L19978" 12
"8939534_8L19980" "8939534" "8L19980" 16
"8939534_8L26587" "8939534" "8L26587" 23
"8939535_8981820" "8939535" "8981820" 17
"8939535_8L19972" "8939535" "8L19972" 14
"8939535_8L89386" "8939535" "8L89386" 10
"8939544_8L64327" "8939544" "8L64327" 17
"8939544_8L89995" "8939544" "8L89995" 12
"8939544_8N06413" "8939544" "8N06413" 10
"8939551_8981262" "8939551" "8981262" 14
"8939569_8981791" "8939569" "8981791" 8
"8939578_8L52978" "8939578" "8L52978" 19
"8939582_8309164" "8939582" "8309164" 13
"8939582_8L64291" "8939582" "8L64291" 16
"8939602_8981012" "8939602" "8981012" 19
"8939602_8981264" "8939602" "8981264" 19
"8939602_8L48443" "8939602" "8L48443" 17
"8939603_8939034" "8939603" "8939034" 16
"8939603_8939180" "8939603" "8939180" 21
"8939607_8816407" "8939607" "8816407" 16
"8939607_8939533" "8939607" "8939533" 14
"8939607_8939534" "8939607" "8939534" 13
"8939607_8939535" "8939607" "8939535" 13
"8939608_8L30260" "8939608" "8L30260" 14
"8939608_8L30261" "8939608" "8L30261" 15
"8939608_8L48336" "8939608" "8L48336" 12
"8939608_8L48337" "8939608" "8L48337" 17
"8939615_8118429" "8939615" "8118429" 25
"8939615_8309150" "8939615" "8309150" 25
"8939615_8309156" "8939615" "8309156" 20
"8939615_8981266" "8939615" "8981266" 16
"8939615_8L52920" "8939615" "8L52920" 30
"8939615_8L89335" "8939615" "8L89335" 24
"8939617_8309159" "8939617" "8309159" 22
"8939617_8309161" "8939617" "8309161" 19
"8939617_8L26582" "8939617" "8L26582" 24
"8939617_8L30208" "8939617" "8L30208" 29
"8939617_8L30212" "8939617" "8L30212" 28
"8939617_8L52411" "8939617" "8L52411" 29
"8939622_8981914" "8939622" "8981914" 9
"8939704_8816921" "8939704" "8816921" 26
"8939704_8981914" "8939704" "8981914" 24
"8939728_8L52211" "8939728" "8L52211" 25
"8939733_8L48314" "8939733" "8L48314" 12
"8939733_8L48440" "8939733" "8L48440" 16
"8939747_8L52305" "8939747" "8L52305" 16
"8939748_8L48350" "8939748" "8L48350" 17
"8939748_8L52308" "8939748" "8L52308" 16
"8939748_8L52310" "8939748" "8L52310" 11
"8939749_8816496" "8939749" "8816496" 18
"8939749_8981027" "8939749" "8981027" 20
"8939749_8L19919" "8939749" "8L19919" 21
"8939749_8L30892" "8939749" "8L30892" 19
"8939749_8L64271" "8939749" "8L64271" 22
"8939749_8M31528" "8939749" "8M31528" 13
"8939749_8M31561" "8939749" "8M31561" 12
"8939750_8L52401" "8939750" "8L52401" 26
"8939762_8981265" "8939762" "8981265" 26
"8939762_8981274" "8939762" "8981274" 21
"8939762_8981296" "8939762" "8981296" 28
"8939763_8981820" "8939763" "8981820" 34
"8939768_8981283" "8939768" "8981283" 13
"8939768_8L19813" "8939768" "8L19813" 16
