"meiosis" "parent" "offspring" "yapp_CO_count"
"8573515_8681352" "8573515" "8681352" 17
"8573567_8681423" "8573567" "8681423" 18
"8573567_8747692" "8573567" "8747692" 14
"8573572_8598907" "8573572" "8598907" 20
"8573572_8730418" "8573572" "8730418" 14
"8573572_8747982" "8573572" "8747982" 12
"8573606_8651586" "8573606" "8651586" 14
"8573606_8651695" "8573606" "8651695" 20
"8573606_8681027" "8573606" "8681027" 1
"8573606_8681037" "8573606" "8681037" 24
"8573606_8681077" "8573606" "8681077" 26
"8573606_8732640" "8573606" "8732640" 37
"8573856_8681003" "8573856" "8681003" 18
"8573856_8730413" "8573856" "8730413" 15
"8573856_8747412" "8573856" "8747412" 14
"8573856_8857202" "8573856" "8857202" 11
"8573872_8168608" "8573872" "8168608" 11
"8573872_8681055" "8573872" "8681055" 16
"8573872_8747526" "8573872" "8747526" 17
"8598568_8651534" "8598568" "8651534" 14
"8598568_8681309" "8598568" "8681309" 18
"8598568_8730497" "8598568" "8730497" 17
"8598568_8730498" "8598568" "8730498" 24
"8598568_8730993" "8598568" "8730993" 14
"8598614_8598593" "8598614" "8598593" 14
"8598614_8598594" "8598614" "8598594" 12
"8598614_8598595" "8598614" "8598595" 11
"8598614_8598596" "8598614" "8598596" 15
"8598728_8651539" "8598728" "8651539" 28
"8598728_8730496" "8598728" "8730496" 16
"8598728_8732697" "8598728" "8732697" 19
"8598887_8681200" "8598887" "8681200" 16
"8598887_8732247" "8598887" "8732247" 16
"8598907_8168607" "8598907" "8168607" 25
"8598907_8681352" "8598907" "8681352" 18
"8651534_8857202" "8651534" "8857202" 22
"8651539_8681200" "8651539" "8681200" 13
"8651543_8681309" "8651543" "8681309" 20
"8651543_8730496" "8651543" "8730496" 23
"8651543_8730497" "8651543" "8730497" 22
"8651543_8730498" "8651543" "8730498" 22
"8651543_8730993" "8651543" "8730993" 21
"8651543_8747636" "8651543" "8747636" 17
"8651543_8800066" "8651543" "8800066" 21
"8651576_8681423" "8651576" "8681423" 10
"8651576_8747609" "8651576" "8747609" 11
"8651576_8747692" "8651576" "8747692" 12
"8651621_8681422" "8651621" "8681422" 18
"8651656_8681057" "8651656" "8681057" 22
"8651656_8681097" "8651656" "8681097" 14
"8651656_8747527" "8651656" "8747527" 8
"8651665_8800390" "8651665" "8800390" 15
"8651665_8857752" "8651665" "8857752" 21
"8651665_8866795" "8651665" "8866795" 19
"8651665_8866799" "8651665" "8866799" 17
"8651695_8681038" "8651695" "8681038" 22
"8651695_8681041" "8651695" "8681041" 23
"8651695_8681044" "8651695" "8681044" 27
"8651695_8732638" "8651695" "8732638" 31
"8651695_8732686" "8651695" "8732686" 23
"8651728_8747406" "8651728" "8747406" 15
"8651728_8800307" "8651728" "8800307" 18
"8651730_8747693" "8651730" "8747693" 19
"8651730_8747694" "8651730" "8747694" 18
"8651754_8681079" "8651754" "8681079" 9
"8651754_8681081" "8651754" "8681081" 14
"8651860_8681413" "8651860" "8681413" 23
"8651860_8681414" "8651860" "8681414" 26
"8651860_8681415" "8651860" "8681415" 21
"8651860_8681416" "8651860" "8681416" 17
"8651860_8732649" "8651860" "8732649" 20
"8651860_8732657" "8651860" "8732657" 17
"8651876_8681355" "8651876" "8681355" 11
"8651876_8681356" "8651876" "8681356" 17
"8651876_8730584" "8651876" "8730584" 21
"8651876_8730586" "8651876" "8730586" 19
"8651878_8681002" "8651878" "8681002" 28
"8651878_8681169" "8651878" "8681169" 25
"8651878_8730421" "8651878" "8730421" 31
"8651878_8732247" "8651878" "8732247" 24
"8651878_8747809" "8651878" "8747809" 18
"8651898_8168608" "8651898" "8168608" 27
"8651898_8168614" "8651898" "8168614" 22
"8651898_8681055" "8651898" "8681055" 21
"8651898_8681059" "8651898" "8681059" 16
"8651898_8747526" "8651898" "8747526" 28
"8651899_8732205" "8651899" "8732205" 13
"8651899_8747220" "8651899" "8747220" 23
"8651975_8681079" "8651975" "8681079" 24
"8651975_8681081" "8651975" "8681081" 17
"8651997_8732644" "8651997" "8732644" 14
"8651997_8794301" "8651997" "8794301" 19
"8681001_8168646" "8681001" "8168646" 13
"8681001_8168728" "8681001" "8168728" 19
"8681001_8747630" "8681001" "8747630" 20
"8681008_8747406" "8681008" "8747406" 15
"8681008_8747408" "8681008" "8747408" 23
"8681008_8800482" "8681008" "8800482" 20
"8681012_8747102" "8681012" "8747102" 13
"8681012_8747222" "8681012" "8747222" 24
"8681012_8747554" "8681012" "8747554" 15
"8681012_8747561" "8681012" "8747561" 18
"8681037_8732650" "8681037" "8732650" 22
"8681037_8747623" "8681037" "8747623" 13
"8681037_8800510" "8681037" "8800510" 23
"8681037_8800538" "8681037" "8800538" 13
"8681037_8800612" "8681037" "8800612" 11
"8681038_8732211" "8681038" "8732211" 9
"8681038_8800038" "8681038" "8800038" 23
"8681039_8730584" "8681039" "8730584" 16
"8681039_8730586" "8681039" "8730586" 17
"8681042_8730577" "8681042" "8730577" 14
"8681042_8730579" "8681042" "8730579" 19
"8681052_8800066" "8681052" "8800066" 11
"8681052_8857213" "8681052" "8857213" 14
"8681054_8732698" "8681054" "8732698" 23
"8681054_8800477" "8681054" "8800477" 19
"8681054_8800478" "8681054" "8800478" 21
"8681054_8857210" "8681054" "8857210" 22
"8681054_8866741" "8681054" "8866741" 20
"8681054_8887205" "8681054" "8887205" 18
"8681054_8887206" "8681054" "8887206" 26
"8681054_8943129" "8681054" "8943129" 19
"8681057_8747399" "8681057" "8747399" 14
"8681059_8168612" "8681059" "8168612" 20
"8681059_8168693" "8681059" "8168693" 9
"8681059_8800090" "8681059" "8800090" 13
"8681059_8800177" "8681059" "8800177" 20
"8681077_8732651" "8681077" "8732651" 17
"8681079_8800355" "8681079" "8800355" 15
"8681081_8800031" "8681081" "8800031" 12
"8681081_8800037" "8681081" "8800037" 24
"8681169_8168709" "8681169" "8168709" 23
"8681169_8730413" "8681169" "8730413" 17
"8681169_8747948" "8681169" "8747948" 24
"8681184_8747412" "8681184" "8747412" 18
"8681184_8794372" "8681184" "8794372" 13
"8681200_8747808" "8681200" "8747808" 20
"8681200_8800041" "8681200" "8800041" 17
"8681251_8857252" "8681251" "8857252" 18
"8681251_8857748" "8681251" "8857748" 16
"8681251_8887335" "8681251" "8887335" 16
"8681260_8747371" "8681260" "8747371" 23
"8681260_8800450" "8681260" "8800450" 30
"8681261_8747693" "8681261" "8747693" 10
"8681261_8747694" "8681261" "8747694" 20
"8681309_8732698" "8681309" "8732698" 14
"8681309_8747636" "8681309" "8747636" 18
"8681356_8732205" "8681356" "8732205" 19
"8681403_8747101" "8681403" "8747101" 19
"8681403_8887232" "8681403" "8887232" 13
"8681403_8887233" "8681403" "8887233" 14
"8681413_8730431" "8681413" "8730431" 20
"8681414_8730506" "8681414" "8730506" 14
"8681414_8730509" "8681414" "8730509" 13
"8681415_8732639" "8681415" "8732639" 14
"8681415_8747220" "8681415" "8747220" 18
"8681419_8747369" "8681419" "8747369" 21
"8681419_8857249" "8681419" "8857249" 15
"8681419_8866750" "8681419" "8866750" 29
"8681420_8747410" "8681420" "8747410" 28
"8681420_8800307" "8681420" "8800307" 27
"8681423_8747410" "8681423" "8747410" 16
"8681436_8168612" "8681436" "8168612" 16
"8681436_8747109" "8681436" "8747109" 25
"8681436_8747254" "8681436" "8747254" 20
"8681436_8747257" "8681436" "8747257" 21
"8681447_8732650" "8681447" "8732650" 24
"8681447_8747623" "8681447" "8747623" 23
"8681447_8800538" "8681447" "8800538" 21
"8681447_8800612" "8681447" "8800612" 36
"8681454_8747224" "8681454" "8747224" 13
"8681454_8800467" "8681454" "8800467" 24
"8681462_8732656" "8681462" "8732656" 23
"8681462_8800468" "8681462" "8800468" 18
"8681462_8800614" "8681462" "8800614" 15
"8681462_8857415" "8681462" "8857415" 18
"8681464_8681033" "8681464" "8681033" 20
"8681464_8681462" "8681464" "8681462" 27
"8681464_8732653" "8681464" "8732653" 16
"8681464_8747104" "8681464" "8747104" 19
"8681466_8730577" "8681466" "8730577" 15
"8681466_8730579" "8681466" "8730579" 13
"8730417_8732678" "8730417" "8732678" 20
"8730417_8747125" "8730417" "8747125" 17
"8730417_8800371" "8730417" "8800371" 13
"8730417_8800372" "8730417" "8800372" 22
"8730417_8800376" "8730417" "8800376" 18
"8730421_8747759" "8730421" "8747759" 14
"8730454_8732296" "8730454" "8732296" 17
"8730454_8732653" "8730454" "8732653" 17
"8730454_8747104" "8730454" "8747104" 17
"8730483_8800073" "8730483" "8800073" 11
"8730483_8800178" "8730483" "8800178" 12
"8730496_8794307" "8730496" "8794307" 17
"8730496_8800022" "8730496" "8800022" 18
"8730496_8800074" "8730496" "8800074" 15
"8730496_8800613" "8730496" "8800613" 20
"8730503_8730537" "8730503" "8730537" 19
"8730503_8730538" "8730503" "8730538" 20
"8730509_8747225" "8730509" "8747225" 9
"8730517_8730506" "8730517" "8730506" 16
"8730517_8730509" "8730517" "8730509" 15
"8730579_8887341" "8730579" "8887341" 17
"8730584_8309269" "8730584" "8309269" 15
"8730584_8747555" "8730584" "8747555" 17
"8730584_8800018" "8730584" "8800018" 23
"8730584_8800019" "8730584" "8800019" 16
"8730584_8800021" "8730584" "8800021" 15
"8730584_8800030" "8730584" "8800030" 17
"8730584_8857232" "8730584" "8857232" 16
"8730584_8866792" "8730584" "8866792" 14
"8730584_8887230" "8730584" "8887230" 24
"8730584_8887278" "8730584" "8887278" 21
"8730584_8887279" "8730584" "8887279" 16
"8730584_8887286" "8730584" "8887286" 21
"8730584_8887453" "8730584" "8887453" 17
"8730584_8934313" "8730584" "8934313" 13
"8730584_8939608" "8730584" "8939608" 10
"8730584_8943025" "8730584" "8943025" 18
"8730584_8981247" "8730584" "8981247" 12
"8730584_8981609" "8730584" "8981609" 17
"8730584_8L30598" "8730584" "8L30598" 20
"8730902_8747109" "8730902" "8747109" 17
"8730902_8747254" "8730902" "8747254" 17
"8730902_8747257" "8730902" "8747257" 12
"8730902_8747258" "8730902" "8747258" 8
"8732293_8747749" "8732293" "8747749" 21
"8732293_8857220" "8732293" "8857220" 11
"8732565_8747948" "8732565" "8747948" 11
"8732565_8794306" "8732565" "8794306" 12
"8732565_8794372" "8732565" "8794372" 16
"8732640_8747534" "8732640" "8747534" 30
"8732640_8747624" "8732640" "8747624" 10
"8732646_8747729" "8732646" "8747729" 29
"8732646_8866752" "8732646" "8866752" 7
"8732649_8800519" "8732649" "8800519" 17
"8732649_8800547" "8732649" "8800547" 18
"8732656_8747263" "8732656" "8747263" 20
"8732660_8747118" "8732660" "8747118" 14
"8732660_8747270" "8732660" "8747270" 6
"8732680_8800371" "8732680" "8800371" 15
"8732680_8800372" "8732680" "8800372" 17
"8732680_8800376" "8732680" "8800376" 15
"8732687_8747563" "8732687" "8747563" 19
"8732687_8887290" "8732687" "8887290" 16
"8732687_8887449" "8732687" "8887449" 22
"8732687_8887451" "8732687" "8887451" 18
"8732687_8887452" "8732687" "8887452" 30
"8732695_8794367" "8732695" "8794367" 22
"8732695_8794368" "8732695" "8794368" 18
"8732695_8887207" "8732695" "8887207" 21
"8732700_8747630" "8732700" "8747630" 20
"8732700_8747982" "8732700" "8747982" 13
"8747101_8794302" "8747101" "8794302" 13
"8747104_8800314" "8747104" "8800314" 21
"8747220_8857220" "8747220" "8857220" 10
"8747222_8866754" "8747222" "8866754" 13
"8747222_8943121" "8747222" "8943121" 18
"8747227_8747221" "8747227" "8747221" 24
"8747227_8747223" "8747227" "8747223" 17
"8747229_8747221" "8747229" "8747221" 15
"8747229_8747222" "8747229" "8747222" 25
"8747229_8747223" "8747229" "8747223" 15
"8747229_8866752" "8747229" "8866752" 21
"8747258_8800175" "8747258" "8800175" 37
"8747259_8747417" "8747259" "8747417" 9
"8747259_8866710" "8747259" "8866710" 19
"8747260_8747741" "8747260" "8747741" 6
"8747399_8800434" "8747399" "8800434" 22
"8747408_8866800" "8747408" "8866800" 21
"8747410_8800450" "8747410" "8800450" 16
"8747410_8866750" "8747410" "8866750" 16
"8747520_8887344" "8747520" "8887344" 17
"8747534_8800038" "8747534" "8800038" 21
"8747534_8887448" "8747534" "8887448" 37
"8747534_8887486" "8747534" "8887486" 30
"8747534_8934059" "8747534" "8934059" 29
"8747534_8L52407" "8747534" "8L52407" 22
"8747548_8800535" "8747548" "8800535" 19
"8747548_8857274" "8747548" "8857274" 29
"8747548_8857278" "8747548" "8857278" 21
"8747548_8857279" "8747548" "8857279" 20
"8747548_8887358" "8747548" "8887358" 24
"8747548_8L30364" "8747548" "8L30364" 20
"8747552_8800494" "8747552" "8800494" 15
"8747552_8800495" "8747552" "8800495" 16
"8747552_8857281" "8747552" "8857281" 17
"8747552_8866773" "8747552" "8866773" 15
"8747552_8887262" "8747552" "8887262" 13
"8747552_8887357" "8747552" "8887357" 18
"8747552_8887406" "8747552" "8887406" 20
"8747552_8934339" "8747552" "8934339" 20
"8747553_8800494" "8747553" "8800494" 16
"8747553_8800495" "8747553" "8800495" 22
"8747553_8857281" "8747553" "8857281" 16
"8747553_8934338" "8747553" "8934338" 18
"8747553_8934339" "8747553" "8934339" 22
"8747553_8939582" "8747553" "8939582" 20
"8747553_8L30761" "8747553" "8L30761" 17
"8747554_8800355" "8747554" "8800355" 22
"8747554_8887232" "8747554" "8887232" 14
"8747554_8887233" "8747554" "8887233" 25
"8747561_8887439" "8747561" "8887439" 18
"8747563_8747764" "8747563" "8747764" 16
"8747606_8747554" "8747606" "8747554" 28
"8747606_8747561" "8747606" "8747561" 20
"8747623_8747624" "8747623" "8747624" 18
"8747636_8794367" "8747636" "8794367" 17
"8747636_8794368" "8747636" "8794368" 20
"8747698_8800028" "8747698" "8800028" 13
"8747698_8800029" "8747698" "8800029" 18
"8747698_8800042" "8747698" "8800042" 16
"8747698_8934460" "8747698" "8934460" 8
"8747725_8800416" "8747725" "8800416" 21
"8747725_8800417" "8747725" "8800417" 25
"8747725_8857740" "8747725" "8857740" 23
"8747729_8857231" "8747729" "8857231" 21
"8747729_8866783" "8747729" "8866783" 16
"8747729_8866790" "8747729" "8866790" 14
"8747729_8939137" "8747729" "8939137" 13
"8747749_8887249" "8747749" "8887249" 11
"8747756_8747764" "8747756" "8747764" 11
"8747756_8800592" "8747756" "8800592" 20
"8747759_8747799" "8747759" "8747799" 15
"8747760_8887281" "8747760" "8887281" 12
"8747760_8934373" "8747760" "8934373" 27
"8747764_8939607" "8747764" "8939607" 10
"8747799_8857213" "8747799" "8857213" 25
"8747807_8800181" "8747807" "8800181" 39
"8747809_8866745" "8747809" "8866745" 15
"8747872_8943043" "8747872" "8943043" 14
"8747900_8866783" "8747900" "8866783" 21
"8747900_8939137" "8747900" "8939137" 26
"8747900_8L52950" "8747900" "8L52950" 30
"8747901_8L30922" "8747901" "8L30922" 17
"8747901_8L52585" "8747901" "8L52585" 17
"8747936_8939121" "8747936" "8939121" 13
"8747936_8939124" "8747936" "8939124" 16
"8747936_8939555" "8747936" "8939555" 16
"8747940_8887477" "8747940" "8887477" 17
"8747940_8934458" "8747940" "8934458" 12
"8747940_8934559" "8747940" "8934559" 18
"8747941_8887210" "8747941" "8887210" 16
"8747941_8887211" "8747941" "8887211" 11
"8747941_8934224" "8747941" "8934224" 15
"8747941_8934499" "8747941" "8934499" 14
"8747948_8887354" "8747948" "8887354" 15
"8747982_8857739" "8747982" "8857739" 19
"8747982_8943083" "8747982" "8943083" 17
"8794301_8800023" "8794301" "8800023" 17
"8794301_8857233" "8794301" "8857233" 23
"8794305_8747900" "8794305" "8747900" 16
"8794305_8800027" "8794305" "8800027" 18
"8794305_8887354" "8794305" "8887354" 15
"8794305_8934460" "8794305" "8934460" 21
"8794305_8934854" "8794305" "8934854" 17
"8794305_8934855" "8794305" "8934855" 16
"8800018_8857237" "8800018" "8857237" 16
"8800038_8887344" "8800038" "8887344" 20
"8800038_8887345" "8800038" "8887345" 22
"8800038_8887346" "8800038" "8887346" 33
"8800038_8943880" "8800038" "8943880" 30
"8800038_8943882" "8800038" "8943882" 23
"8800042_8857739" "8800042" "8857739" 16
"8800042_8943083" "8800042" "8943083" 20
"8800046_8887448" "8800046" "8887448" 15
"8800046_8887486" "8800046" "8887486" 12
"8800046_8934072" "8800046" "8934072" 9
"8800046_8934368" "8800046" "8934368" 18
"8800066_8857730" "8800066" "8857730" 29
"8800066_8887220" "8800066" "8887220" 23
"8800077_8857205" "8800077" "8857205" 32
"8800077_8866786" "8800077" "8866786" 32
"8800077_8866789" "8800077" "8866789" 24
"8800090_8934805" "8800090" "8934805" 25
"8800090_8939164" "8800090" "8939164" 24
"8800090_8939705" "8800090" "8939705" 22
"8800090_8943168" "8800090" "8943168" 28
"8800090_8943736" "8800090" "8943736" 27
"8800090_8943837" "8800090" "8943837" 25
"8800090_8L52943" "8800090" "8L52943" 23
"8800102_8800535" "8800102" "8800535" 20
"8800102_8857274" "8800102" "8857274" 17
"8800102_8857278" "8800102" "8857278" 14
"8800102_8857279" "8800102" "8857279" 15
